1	10	0	1000	0
1	25	0	25000	0
1	50	0	0	100
1	100	0	0	500
2	25	250	0	0
2	50	0	5000	0
2	100	0	0	100
2	250	2500	0	0
2	500	0	0	500
3	10000	0	0	10
3	100000	0	0	100
3	1000000	0	0	500
4	10	0	0	10
4	50	0	0	50
4	100	0	0	100
5	10	100	0	0
5	50	1000	0	0
5	100	5000	0	0
6	10	100	0	0
6	100	0	10000	0
6	1000	0	0	250
7	10	100	0	0
7	100	0	10000	0
7	1000	0	0	250
8	1	50	0	0
8	25	0	1000	0
8	100	0	0	10
9	1	0	0	10
9	10	0	0	50
9	50	0	0	100
10	100	0	100	0
10	500	0	500	0
10	1000	0	1000	0
10	5000	0	5000	0
10	10000	0	10000	0
11	500	100	0	0
11	10000	1000	0	0
11	100000	5000	0	0
