1	1	100	10	0	0	4	10	0	0	0
1	2	250	25	0	0	4	9	1	0	0
1	3	650	65	0	0	3	8	1	0	0
1	4	1600	160	0	0	3	7	1	0	0
1	5	4000	400	0	0	2	6	1	0	0
2	1	250	25	12	0	6	0	0	0	0
2	2	650	65	11	0	5	0	0	0	0
2	3	1600	160	10	0	4	0	0	0	0
2	4	4000	400	9	0	3	0	0	0	0
2	5	9700	970	8	0	2	0	0	0	0
3	1	375	38	10	0	0	0	0	0	0
3	2	950	95	9	0	0	0	2	0	0
3	3	2400	240	8	0	0	0	2	0	0
3	4	5900	590	7	0	0	0	3	0	0
3	5	14700	1470	6	0	0	0	3	0	0
4	1	570	57	0	0	25	5	0	0	0
4	2	1400	140	0	0	23	5	0	1	0
4	3	3500	350	0	0	22	4	0	1	0
4	4	8900	890	0	0	20	4	0	1	0
4	5	22300	2230	0	0	18	3	0	1	0
5	1	850	85	0	0	15	15	0	0	0
5	2	2150	215	0	0	14	14	0	1	0
5	3	5350	535	0	0	13	13	0	0	0
5	4	13300	1330	0	0	12	12	0	1	0
5	5	33250	3325	0	0	10	10	0	1	0
6	1	1275	120	20	0	0	0	0	0	0
6	2	3200	320	19	0	0	0	0	0	1
6	3	7950	795	18	0	0	0	0	0	1
6	4	19900	1990	17	0	0	0	0	0	1
6	5	49800	4980	15	0	0	0	0	0	2
7	1	1900	190	0	0	0	15	0	0	0
7	2	4750	475	0	0	0	14	0	0	0
7	3	12000	1200	0	0	0	13	0	0	0
7	4	29700	2970	0	0	0	12	0	0	0
7	5	74300	7430	0	0	0	10	0	0	0
8	1	2850	280	0	20	0	0	0	0	0
8	2	7150	720	0	19	0	0	0	0	2
8	3	17800	1780	0	18	0	0	0	0	2
8	4	44550	4455	0	17	0	0	0	0	3
8	5	111300	11150	0	15	0	0	0	0	3
9	1	4275	420	0	12	12	0	0	0	0
9	2	10750	1075	0	11	11	0	0	0	0
9	3	26750	2675	0	10	10	0	0	0	0
9	4	66800	66800	0	9	9	0	0	0	0
9	5	167000	16700	0	8	8	0	0	0	0
10	1	6400	640	8	8	8	8	0	0	0
10	2	16000	1600	7	7	7	7	0	0	0
10	3	40000	4000	6	6	6	6	0	0	0
10	4	100000	10000	5	5	5	5	0	0	0
10	5	250000	25000	4	4	4	4	0	0	0
11	1	9600	960	0	0	0	15	0	0	0
11	2	24000	2400	0	0	0	14	0	0	0
11	3	60000	6000	0	0	0	13	0	0	0
11	4	150000	15000	0	0	0	12	0	0	0
11	5	375000	37500	0	0	0	10	0	0	0
12	1	14400	1440	15	15	15	15	0	0	0
12	2	36000	3600	14	14	14	14	0	1	0
12	3	90000	9000	13	13	13	13	0	0	0
12	4	225000	22500	12	12	12	12	0	1	0
12	5	562500	56250	10	10	10	10	0	1	0
13	1	32500	3250	0	0	0	50	0	0	0
13	2	81250	81250	0	0	0	47	1	0	0
13	3	203100	20310	0	0	0	44	1	0	0
13	4	507800	50780	0	0	0	42	1	0	0
13	5	1269500	126950	0	0	0	40	1	0	0
14	1	21600	2160	10	10	10	10	0	0	0
14	2	54000	5400	9	9	9	9	0	0	0
14	3	135000	13500	8	8	8	8	0	0	0
14	4	337500	33750	7	7	7	7	0	0	0
14	5	843750	84375	5	5	5	5	0	0	0
15	1	48750	4880	50	50	0	0	0	0	0
15	2	121900	12190	47	47	0	0	1	0	0
15	3	304700	30470	44	44	0	0	1	0	0
15	4	761700	76170	42	42	0	0	1	0	0
15	5	1904300	190430	40	40	0	0	1	0	0
