4	25
4	75
4	150
4	250
4	375
4	525
4	725
4	975
4	1275
4	1625
4	2025
4	2575
4	3275
4	4075
4	5075
4	6225
4	7575
4	9125
4	10875
4	12825
4	15125
4	17725
4	23825
4	27025
4	30525
4	34375
4	38625
4	43275
4	48325
4	53775
4	59725
4	66175
4	72625
4	79575
4	87025
4	94975
4	103475
4	113025
4	123125
4	133775
4	145025
4	156875
4	169325
4	182375
4	196025
4	210275
4	225125
4	240575
4	256625
4	273325
4	290675
4	308675
4	327325
4	346625
4	366575
4	387175
4	408425
4	430325
4	452875
4	476125
4	500075
4	524725
4	550075
4	576125
4	602875
4	630325
4	658475
4	687325
4	716875
4	747225
4	778375
4	810325
4	843075
4	876625
4	910975
4	946125
4	982075
4	1018825
4	1056375
4	1094825
4	1134175
4	1174425
4	1215575
4	1257625
4	1300575
4	1344425
4	1389175
4	1434825
4	1481375
4	1528925
4	1577475
4	1627025
4	1677575
4	1729125
4	1781675
4	1835225
4	1889775
4	1945325
4	2001875
4	2059525
